sku_id,product_name,category,quantity_on_hand,unit_cost,total_value,pct_of_total_value,cumulative_pct,abc_classification
SKU0048,Smartphones_0048,Smartphones,4220,688.11,2903824.2,0.32,14.86,A - High Value (Top 80%)
SKU0158,Laptops_0158,Laptops,3771,767.05,2892545.55,0.32,15.19,A - High Value (Top 80%)
SKU0044,Tablets_0044,Tablets,4259,676.57,2881511.63,0.32,15.5,A - High Value (Top 80%)
SKU0013,Laptops_0013,Laptops,4393,651.33,2861292.69,0.32,15.82,A - High Value (Top 80%)
SKU0158,Laptops_0158,Laptops,3727,767.05,2858795.35,0.32,16.14,A - High Value (Top 80%)
SKU0097,Laptops_0097,Laptops,3960,718.31,2844507.6,0.32,16.45,A - High Value (Top 80%)
SKU0106,Laptops_0106,Laptops,4969,571.73,2840926.37,0.31,16.77,A - High Value (Top 80%)
SKU0013,Laptops_0013,Laptops,4340,651.33,2826772.2,0.31,17.08,A - High Value (Top 80%)
SKU0128,Laptops_0128,Laptops,3622,773.4,2801254.8,0.31,17.39,A - High Value (Top 80%)
SKU0006,Tablets_0006,Tablets,3598,766.78,2758874.44,0.31,17.7,A - High Value (Top 80%)
SKU0108,Laptops_0108,Laptops,3473,791.23,2747941.79,0.3,18.0,A - High Value (Top 80%)
SKU0102,Tablets_0102,Tablets,4261,643.97,2743956.17,0.3,18.31,A - High Value (Top 80%)
SKU0176,Tablets_0176,Tablets,4099,668.69,2740960.31,0.3,18.61,A - High Value (Top 80%)
SKU0158,Laptops_0158,Laptops,3560,767.05,2730698.0,0.3,18.91,A - High Value (Top 80%)
SKU0176,Tablets_0176,Tablets,4070,668.69,2721568.3,0.3,19.21,A - High Value (Top 80%)
SKU0177,Laptops_0177,Laptops,3667,737.42,2704119.14,0.3,19.51,A - High Value (Top 80%)
SKU0168,Tablets_0168,Tablets,4738,568.96,2695732.48,0.3,19.81,A - High Value (Top 80%)
SKU0044,Tablets_0044,Tablets,3965,676.57,2682600.05,0.3,20.11,A - High Value (Top 80%)
SKU0177,Laptops_0177,Laptops,3635,737.42,2680521.7,0.3,20.4,A - High Value (Top 80%)
SKU0039,Smartphones_0039,Smartphones,3320,796.46,2644247.2,0.29,20.7,A - High Value (Top 80%)
SKU0006,Tablets_0006,Tablets,3433,766.78,2632355.74,0.29,20.99,A - High Value (Top 80%)
SKU0181,Laptops_0181,Laptops,3859,680.29,2625239.11,0.29,21.28,A - High Value (Top 80%)
SKU0097,Laptops_0097,Laptops,3644,718.31,2617521.64,0.29,21.57,A - High Value (Top 80%)
SKU0102,Tablets_0102,Tablets,4053,643.97,2610010.41,0.29,21.86,A - High Value (Top 80%)
SKU0106,Laptops_0106,Laptops,4557,571.73,2605373.61,0.29,22.15,A - High Value (Top 80%)
SKU0128,Laptops_0128,Laptops,3348,773.4,2589343.2,0.29,22.43,A - High Value (Top 80%)
SKU0176,Tablets_0176,Tablets,3851,668.69,2575125.19,0.29,22.72,A - High Value (Top 80%)
SKU0195,Laptops_0195,Laptops,3598,704.07,2533243.86,0.28,23.0,A - High Value (Top 80%)
SKU0195,Laptops_0195,Laptops,3541,704.07,2493111.87,0.28,23.28,A - High Value (Top 80%)
SKU0095,Tablets_0095,Tablets,4501,553.52,2491393.52,0.28,23.55,A - High Value (Top 80%)
SKU0097,Laptops_0097,Laptops,3452,718.31,2479606.12,0.27,23.83,A - High Value (Top 80%)
SKU0106,Laptops_0106,Laptops,4332,571.73,2476734.36,0.27,24.1,A - High Value (Top 80%)
SKU0095,Tablets_0095,Tablets,4444,553.52,2459842.88,0.27,24.37,A - High Value (Top 80%)
SKU0107,Smartphones_0107,Smartphones,4717,516.9,2438217.3,0.27,24.64,A - High Value (Top 80%)
SKU0006,Tablets_0006,Tablets,3175,766.78,2434526.5,0.27,24.91,A - High Value (Top 80%)
SKU0183,Tablets_0183,Tablets,3427,710.38,2434472.26,0.27,25.18,A - High Value (Top 80%)
SKU0006,Tablets_0006,Tablets,3167,766.78,2428392.26,0.27,25.45,A - High Value (Top 80%)
SKU0090,Tablets_0090,Tablets,3444,703.92,2424300.48,0.27,25.72,A - High Value (Top 80%)
SKU0068,Laptops_0068,Laptops,4473,541.59,2422532.07,0.27,25.99,A - High Value (Top 80%)
SKU0188,Smartphones_0188,Smartphones,3181,754.56,2400255.36,0.27,26.26,A - High Value (Top 80%)
SKU0044,Tablets_0044,Tablets,3535,676.57,2391674.95,0.26,26.52,A - High Value (Top 80%)
SKU0090,Tablets_0090,Tablets,3365,703.92,2368690.8,0.26,26.78,A - High Value (Top 80%)
SKU0160,Smartphones_0160,Smartphones,3615,651.09,2353690.35,0.26,27.04,A - High Value (Top 80%)
SKU0158,Laptops_0158,Laptops,3058,767.05,2345638.9,0.26,27.3,A - High Value (Top 80%)
SKU0039,Smartphones_0039,Smartphones,2913,796.46,2320087.98,0.26,27.56,A - High Value (Top 80%)
SKU0183,Tablets_0183,Tablets,3247,710.38,2306603.86,0.26,27.82,A - High Value (Top 80%)
SKU0107,Smartphones_0107,Smartphones,4460,516.9,2305374.0,0.26,28.07,A - High Value (Top 80%)
SKU0177,Laptops_0177,Laptops,3118,737.42,2299275.56,0.25,28.33,A - High Value (Top 80%)
SKU0013,Laptops_0013,Laptops,3517,651.33,2290727.61,0.25,28.58,A - High Value (Top 80%)
SKU0031,Smartphones_0031,Smartphones,4712,485.81,2289136.72,0.25,28.83,A - High Value (Top 80%)
SKU0107,Smartphones_0107,Smartphones,4419,516.9,2284181.1,0.25,29.09,A - High Value (Top 80%)
SKU0057,Laptops_0057,Laptops,4770,477.04,2275480.8,0.25,29.34,A - High Value (Top 80%)
SKU0158,Laptops_0158,Laptops,2946,767.05,2259729.3,0.25,29.59,A - High Value (Top 80%)
SKU0095,Tablets_0095,Tablets,4081,553.52,2258915.12,0.25,29.84,A - High Value (Top 80%)
SKU0181,Laptops_0181,Laptops,3312,680.29,2253120.48,0.25,30.09,A - High Value (Top 80%)
SKU0043,Tablets_0043,Tablets,3567,631.5,2252560.5,0.25,30.34,A - High Value (Top 80%)
SKU0013,Laptops_0013,Laptops,3448,651.33,2245785.84,0.25,30.59,A - High Value (Top 80%)
SKU0183,Tablets_0183,Tablets,3131,710.38,2224199.78,0.25,30.83,A - High Value (Top 80%)
SKU0090,Tablets_0090,Tablets,3147,703.92,2215236.24,0.25,31.08,A - High Value (Top 80%)
SKU0043,Tablets_0043,Tablets,3470,631.5,2191305.0,0.24,31.32,A - High Value (Top 80%)
SKU0106,Laptops_0106,Laptops,3810,571.73,2178291.3,0.24,31.56,A - High Value (Top 80%)
SKU0161,Tablets_0161,Tablets,4834,448.79,2169450.86,0.24,31.8,A - High Value (Top 80%)
SKU0057,Laptops_0057,Laptops,4529,477.04,2160514.16,0.24,32.04,A - High Value (Top 80%)
SKU0161,Tablets_0161,Tablets,4798,448.79,2153294.42,0.24,32.28,A - High Value (Top 80%)
SKU0085,Laptops_0085,Laptops,4010,536.18,2150081.8,0.24,32.52,A - High Value (Top 80%)
SKU0043,Tablets_0043,Tablets,3376,631.5,2131944.0,0.24,32.75,A - High Value (Top 80%)
SKU0106,Laptops_0106,Laptops,3728,571.73,2131409.44,0.24,32.99,A - High Value (Top 80%)
SKU0090,Tablets_0090,Tablets,3027,703.92,2130765.84,0.24,33.23,A - High Value (Top 80%)
SKU0183,Tablets_0183,Tablets,2997,710.38,2129008.86,0.24,33.46,A - High Value (Top 80%)
SKU0031,Smartphones_0031,Smartphones,4369,485.81,2122503.89,0.24,33.7,A - High Value (Top 80%)
SKU0115,Tablets_0115,Tablets,4181,506.59,2118052.79,0.23,33.93,A - High Value (Top 80%)
SKU0148,Tablets_0148,Tablets,3035,686.32,2082981.2,0.23,34.16,A - High Value (Top 80%)
SKU0136,Smartphones_0136,Smartphones,4391,473.94,2081070.54,0.23,34.39,A - High Value (Top 80%)
SKU0102,Tablets_0102,Tablets,3219,643.97,2072939.43,0.23,34.62,A - High Value (Top 80%)
SKU0068,Laptops_0068,Laptops,3807,541.59,2061833.13,0.23,34.85,A - High Value (Top 80%)
SKU0122,Tablets_0122,Tablets,4093,503.31,2060047.83,0.23,35.08,A - High Value (Top 80%)
SKU0068,Laptops_0068,Laptops,3784,541.59,2049376.56,0.23,35.31,A - High Value (Top 80%)
SKU0107,Smartphones_0107,Smartphones,3957,516.9,2045373.3,0.23,35.53,A - High Value (Top 80%)
SKU0177,Laptops_0177,Laptops,2761,737.42,2036016.62,0.23,35.76,A - High Value (Top 80%)
SKU0031,Smartphones_0031,Smartphones,4170,485.81,2025827.7,0.22,35.98,A - High Value (Top 80%)
SKU0168,Tablets_0168,Tablets,3556,568.96,2023221.76,0.22,36.21,A - High Value (Top 80%)
SKU0021,Laptops_0021,Laptops,4715,427.62,2016228.3,0.22,36.43,A - High Value (Top 80%)
SKU0044,Tablets_0044,Tablets,2975,676.57,2012795.75,0.22,36.65,A - High Value (Top 80%)
SKU0136,Smartphones_0136,Smartphones,4244,473.94,2011401.36,0.22,36.88,A - High Value (Top 80%)
SKU0057,Laptops_0057,Laptops,4216,477.04,2011200.64,0.22,37.1,A - High Value (Top 80%)
SKU0095,Tablets_0095,Tablets,3623,553.52,2005402.96,0.22,37.32,A - High Value (Top 80%)
SKU0128,Laptops_0128,Laptops,2576,773.4,1992278.4,0.22,37.54,A - High Value (Top 80%)
SKU0039,Smartphones_0039,Smartphones,2477,796.46,1972831.42,0.22,37.76,A - High Value (Top 80%)
SKU0160,Smartphones_0160,Smartphones,3018,651.09,1964989.62,0.22,37.98,A - High Value (Top 80%)
SKU0148,Tablets_0148,Tablets,2863,686.32,1964934.16,0.22,38.2,A - High Value (Top 80%)
SKU0044,Tablets_0044,Tablets,2893,676.57,1957317.01,0.22,38.41,A - High Value (Top 80%)
SKU0021,Laptops_0021,Laptops,4574,427.62,1955933.88,0.22,38.63,A - High Value (Top 80%)
SKU0160,Smartphones_0160,Smartphones,2956,651.09,1924622.04,0.21,38.84,A - High Value (Top 80%)
SKU0023,Smartphones_0023,Smartphones,4665,412.49,1924265.85,0.21,39.06,A - High Value (Top 80%)
SKU0148,Tablets_0148,Tablets,2794,686.32,1917578.08,0.21,39.27,A - High Value (Top 80%)
SKU0079,Smartphones_0079,Smartphones,3427,557.91,1911957.57,0.21,39.48,A - High Value (Top 80%)
SKU0181,Laptops_0181,Laptops,2803,680.29,1906852.87,0.21,39.69,A - High Value (Top 80%)
SKU0104,Laptops_0104,Laptops,4664,408.16,1903658.24,0.21,39.9,A - High Value (Top 80%)
SKU0099,Tablets_0099,Tablets,2600,731.24,1901224.0,0.21,40.11,A - High Value (Top 80%)
SKU0102,Tablets_0102,Tablets,2937,643.97,1891339.89,0.21,40.32,A - High Value (Top 80%)
SKU0156,Tablets_0156,Tablets,4432,424.32,1880586.24,0.21,40.53,A - High Value (Top 80%)
SKU0158,Laptops_0158,Laptops,2447,767.05,1876971.35,0.21,40.74,A - High Value (Top 80%)
SKU0195,Laptops_0195,Laptops,2658,704.07,1871418.06,0.21,40.95,A - High Value (Top 80%)
SKU0128,Laptops_0128,Laptops,2419,773.4,1870854.6,0.21,41.15,A - High Value (Top 80%)
SKU0148,Tablets_0148,Tablets,2723,686.32,1868849.36,0.21,41.36,A - High Value (Top 80%)
SKU0188,Smartphones_0188,Smartphones,2471,754.56,1864517.76,0.21,41.57,A - High Value (Top 80%)
SKU0076,Smartphones_0076,Smartphones,4733,393.67,1863240.11,0.21,41.77,A - High Value (Top 80%)
SKU0090,Tablets_0090,Tablets,2646,703.92,1862572.32,0.21,41.98,A - High Value (Top 80%)
SKU0099,Tablets_0099,Tablets,2534,731.24,1852962.16,0.21,42.18,A - High Value (Top 80%)
SKU0148,Tablets_0148,Tablets,2699,686.32,1852377.68,0.21,42.39,A - High Value (Top 80%)
SKU0181,Laptops_0181,Laptops,2719,680.29,1849708.51,0.2,42.59,A - High Value (Top 80%)
SKU0006,Tablets_0006,Tablets,2411,766.78,1848706.58,0.2,42.8,A - High Value (Top 80%)
SKU0136,Smartphones_0136,Smartphones,3891,473.94,1844100.54,0.2,43.0,A - High Value (Top 80%)
SKU0108,Laptops_0108,Laptops,2320,791.23,1835653.6,0.2,43.21,A - High Value (Top 80%)
SKU0095,Tablets_0095,Tablets,3309,553.52,1831597.68,0.2,43.41,A - High Value (Top 80%)
SKU0102,Tablets_0102,Tablets,2825,643.97,1819215.25,0.2,43.61,A - High Value (Top 80%)
SKU0115,Tablets_0115,Tablets,3588,506.59,1817644.92,0.2,43.81,A - High Value (Top 80%)
SKU0167,Tablets_0167,Tablets,4285,424.15,1817482.75,0.2,44.01,A - High Value (Top 80%)
SKU0044,Tablets_0044,Tablets,2676,676.57,1810501.32,0.2,44.21,A - High Value (Top 80%)
SKU0106,Laptops_0106,Laptops,3165,571.73,1809525.45,0.2,44.42,A - High Value (Top 80%)
SKU0123,Laptops_0123,Laptops,4910,367.69,1805357.9,0.2,44.62,A - High Value (Top 80%)
SKU0123,Laptops_0123,Laptops,4895,367.69,1799842.55,0.2,44.81,A - High Value (Top 80%)
SKU0043,Tablets_0043,Tablets,2847,631.5,1797880.5,0.2,45.01,A - High Value (Top 80%)
SKU0059,Smartphones_0059,Smartphones,4007,447.86,1794575.02,0.2,45.21,A - High Value (Top 80%)
SKU0031,Smartphones_0031,Smartphones,3690,485.81,1792638.9,0.2,45.41,A - High Value (Top 80%)
SKU0090,Tablets_0090,Tablets,2530,703.92,1780917.6,0.2,45.61,A - High Value (Top 80%)
SKU0089,Tablets_0089,Tablets,4647,382.81,1778918.07,0.2,45.81,A - High Value (Top 80%)
SKU0177,Laptops_0177,Laptops,2410,737.42,1777182.2,0.2,46.0,A - High Value (Top 80%)
SKU0085,Laptops_0085,Laptops,3303,536.18,1771002.54,0.2,46.2,A - High Value (Top 80%)
SKU0181,Laptops_0181,Laptops,2601,680.29,1769434.29,0.2,46.39,A - High Value (Top 80%)
SKU0107,Smartphones_0107,Smartphones,3414,516.9,1764696.6,0.2,46.59,A - High Value (Top 80%)
SKU0070,Laptops_0070,Laptops,2897,608.79,1763664.63,0.2,46.79,A - High Value (Top 80%)
SKU0076,Smartphones_0076,Smartphones,4479,393.67,1763247.93,0.2,46.98,A - High Value (Top 80%)
SKU0167,Tablets_0167,Tablets,4155,424.15,1762343.25,0.2,47.18,A - High Value (Top 80%)
SKU0189,Tablets_0189,Tablets,3885,452.56,1758195.6,0.19,47.37,A - High Value (Top 80%)
SKU0123,Laptops_0123,Laptops,4773,367.69,1754984.37,0.19,47.56,A - High Value (Top 80%)
SKU0048,Smartphones_0048,Smartphones,2544,688.11,1750551.84,0.19,47.76,A - High Value (Top 80%)
SKU0031,Smartphones_0031,Smartphones,3576,485.81,1737256.56,0.19,47.95,A - High Value (Top 80%)
SKU0115,Tablets_0115,Tablets,3429,506.59,1737097.11,0.19,48.14,A - High Value (Top 80%)
SKU0076,Smartphones_0076,Smartphones,4394,393.67,1729785.98,0.19,48.34,A - High Value (Top 80%)
SKU0167,Tablets_0167,Tablets,4074,424.15,1727987.1,0.19,48.53,A - High Value (Top 80%)
SKU0168,Tablets_0168,Tablets,3028,568.96,1722810.88,0.19,48.72,A - High Value (Top 80%)
SKU0167,Tablets_0167,Tablets,4052,424.15,1718655.8,0.19,48.91,A - High Value (Top 80%)
SKU0004,Smartphones_0004,Smartphones,4996,339.3,1695142.8,0.19,49.1,A - High Value (Top 80%)
SKU0188,Smartphones_0188,Smartphones,2245,754.56,1693987.2,0.19,49.28,A - High Value (Top 80%)
SKU0076,Smartphones_0076,Smartphones,4288,393.67,1688056.96,0.19,49.47,A - High Value (Top 80%)
SKU0187,Laptops_0187,Laptops,2362,714.3,1687176.6,0.19,49.66,A - High Value (Top 80%)
SKU0168,Tablets_0168,Tablets,2932,568.96,1668190.72,0.18,49.84,A - High Value (Top 80%)
SKU0187,Laptops_0187,Laptops,2327,714.3,1662176.1,0.18,50.03,A - High Value (Top 80%)
SKU0158,Laptops_0158,Laptops,2164,767.05,1659896.2,0.18,50.21,A - High Value (Top 80%)
SKU0176,Tablets_0176,Tablets,2482,668.69,1659688.58,0.18,50.39,A - High Value (Top 80%)
SKU0011,Smartphones_0011,Smartphones,4972,332.61,1653736.92,0.18,50.58,A - High Value (Top 80%)
SKU0068,Laptops_0068,Laptops,3050,541.59,1651849.5,0.18,50.76,A - High Value (Top 80%)
SKU0021,Laptops_0021,Laptops,3842,427.62,1642916.04,0.18,50.94,A - High Value (Top 80%)
SKU0168,Tablets_0168,Tablets,2856,568.96,1624949.76,0.18,51.12,A - High Value (Top 80%)
SKU0122,Tablets_0122,Tablets,3223,503.31,1622168.13,0.18,51.3,A - High Value (Top 80%)
SKU0099,Tablets_0099,Tablets,2209,731.24,1615309.16,0.18,51.48,A - High Value (Top 80%)
SKU0176,Tablets_0176,Tablets,2401,668.69,1605524.69,0.18,51.66,A - High Value (Top 80%)
SKU0160,Smartphones_0160,Smartphones,2447,651.09,1593217.23,0.18,51.83,A - High Value (Top 80%)
SKU0115,Tablets_0115,Tablets,3134,506.59,1587653.06,0.18,52.01,A - High Value (Top 80%)
SKU0044,Tablets_0044,Tablets,2327,676.57,1574378.39,0.17,52.19,A - High Value (Top 80%)
SKU0148,Tablets_0148,Tablets,2293,686.32,1573731.76,0.17,52.36,A - High Value (Top 80%)
SKU0160,Smartphones_0160,Smartphones,2414,651.09,1571731.26,0.17,52.53,A - High Value (Top 80%)
SKU0070,Laptops_0070,Laptops,2580,608.79,1570678.2,0.17,52.71,A - High Value (Top 80%)
SKU0158,Laptops_0158,Laptops,2045,767.05,1568617.25,0.17,52.88,A - High Value (Top 80%)
SKU0160,Smartphones_0160,Smartphones,2409,651.09,1568475.81,0.17,53.05,A - High Value (Top 80%)
SKU0023,Smartphones_0023,Smartphones,3799,412.49,1567049.51,0.17,53.23,A - High Value (Top 80%)
SKU0161,Tablets_0161,Tablets,3490,448.79,1566277.1,0.17,53.4,A - High Value (Top 80%)
SKU0136,Smartphones_0136,Smartphones,3267,473.94,1548361.98,0.17,53.57,A - High Value (Top 80%)
SKU0076,Smartphones_0076,Smartphones,3928,393.67,1546335.76,0.17,53.74,A - High Value (Top 80%)
SKU0183,Tablets_0183,Tablets,2171,710.38,1542234.98,0.17,53.92,A - High Value (Top 80%)
SKU0187,Laptops_0187,Laptops,2159,714.3,1542173.7,0.17,54.09,A - High Value (Top 80%)
SKU0048,Smartphones_0048,Smartphones,2241,688.11,1542054.51,0.17,54.26,A - High Value (Top 80%)
SKU0004,Smartphones_0004,Smartphones,4542,339.3,1541100.6,0.17,54.43,A - High Value (Top 80%)
SKU0039,Smartphones_0039,Smartphones,1921,796.46,1529999.66,0.17,54.6,A - High Value (Top 80%)
SKU0168,Tablets_0168,Tablets,2687,568.96,1528795.52,0.17,54.77,A - High Value (Top 80%)
SKU0079,Smartphones_0079,Smartphones,2724,557.91,1519746.84,0.17,54.94,A - High Value (Top 80%)
SKU0085,Laptops_0085,Laptops,2825,536.18,1514708.5,0.17,55.1,A - High Value (Top 80%)
SKU0079,Smartphones_0079,Smartphones,2694,557.91,1503009.54,0.17,55.27,A - High Value (Top 80%)
SKU0066,Smartphones_0066,Smartphones,4193,358.03,1501219.79,0.17,55.44,A - High Value (Top 80%)
SKU0070,Laptops_0070,Laptops,2446,608.79,1489100.34,0.16,55.6,A - High Value (Top 80%)
SKU0070,Laptops_0070,Laptops,2430,608.79,1479359.7,0.16,55.76,A - High Value (Top 80%)
SKU0189,Tablets_0189,Tablets,3267,452.56,1478513.52,0.16,55.93,A - High Value (Top 80%)
SKU0106,Laptops_0106,Laptops,2573,571.73,1471061.29,0.16,56.09,A - High Value (Top 80%)
SKU0156,Tablets_0156,Tablets,3464,424.32,1469844.48,0.16,56.25,A - High Value (Top 80%)
SKU0059,Smartphones_0059,Smartphones,3279,447.86,1468532.94,0.16,56.42,A - High Value (Top 80%)
SKU0023,Smartphones_0023,Smartphones,3554,412.49,1465989.46,0.16,56.58,A - High Value (Top 80%)
SKU0079,Smartphones_0079,Smartphones,2606,557.91,1453913.46,0.16,56.74,A - High Value (Top 80%)
SKU0122,Tablets_0122,Tablets,2878,503.31,1448526.18,0.16,56.9,A - High Value (Top 80%)
SKU0136,Smartphones_0136,Smartphones,3049,473.94,1445043.06,0.16,57.06,A - High Value (Top 80%)
SKU0068,Laptops_0068,Laptops,2660,541.59,1440629.4,0.16,57.22,A - High Value (Top 80%)
SKU0104,Laptops_0104,Laptops,3527,408.16,1439580.32,0.16,57.38,A - High Value (Top 80%)
SKU0059,Smartphones_0059,Smartphones,3214,447.86,1439422.04,0.16,57.54,A - High Value (Top 80%)
SKU0082,Smartphones_0082,Smartphones,4097,351.19,1438825.43,0.16,57.7,A - High Value (Top 80%)
SKU0139,Laptops_0139,Laptops,4991,286.44,1429622.04,0.16,57.86,A - High Value (Top 80%)
SKU0023,Smartphones_0023,Smartphones,3440,412.49,1418965.6,0.16,58.01,A - High Value (Top 80%)
SKU0079,Smartphones_0079,Smartphones,2538,557.91,1415975.58,0.16,58.17,A - High Value (Top 80%)
SKU0076,Smartphones_0076,Smartphones,3588,393.67,1412487.96,0.16,58.33,A - High Value (Top 80%)
SKU0189,Tablets_0189,Tablets,3102,452.56,1403841.12,0.16,58.48,A - High Value (Top 80%)
SKU0079,Smartphones_0079,Smartphones,2505,557.91,1397564.55,0.15,58.64,A - High Value (Top 80%)
SKU0104,Laptops_0104,Laptops,3412,408.16,1392641.92,0.15,58.79,A - High Value (Top 80%)
SKU0079,Smartphones_0079,Smartphones,2471,557.91,1378595.61,0.15,58.94,A - High Value (Top 80%)
SKU0011,Smartphones_0011,Smartphones,4086,332.61,1359044.46,0.15,59.1,A - High Value (Top 80%)
SKU0011,Smartphones_0011,Smartphones,4046,332.61,1345740.06,0.15,59.24,A - High Value (Top 80%)
SKU0122,Tablets_0122,Tablets,2668,503.31,1342831.08,0.15,59.39,A - High Value (Top 80%)
SKU0168,Tablets_0168,Tablets,2355,568.96,1339900.8,0.15,59.54,A - High Value (Top 80%)
SKU0189,Tablets_0189,Tablets,2950,452.56,1335052.0,0.15,59.69,A - High Value (Top 80%)
SKU0060,Laptops_0060,Laptops,4810,277.26,1333620.6,0.15,59.84,A - High Value (Top 80%)
SKU0156,Tablets_0156,Tablets,3108,424.32,1318786.56,0.15,59.98,A - High Value (Top 80%)
SKU0068,Laptops_0068,Laptops,2427,541.59,1314438.93,0.15,60.13,A - High Value (Top 80%)
SKU0085,Laptops_0085,Laptops,2433,536.18,1304525.94,0.14,60.27,A - High Value (Top 80%)
SKU0167,Tablets_0167,Tablets,3075,424.15,1304261.25,0.14,60.42,A - High Value (Top 80%)
SKU0123,Laptops_0123,Laptops,3543,367.69,1302725.67,0.14,60.56,A - High Value (Top 80%)
SKU0136,Smartphones_0136,Smartphones,2740,473.94,1298595.6,0.14,60.71,A - High Value (Top 80%)
SKU0085,Laptops_0085,Laptops,2420,536.18,1297555.6,0.14,60.85,A - High Value (Top 80%)
SKU0108,Laptops_0108,Laptops,1638,791.23,1296034.74,0.14,60.99,A - High Value (Top 80%)
SKU0068,Laptops_0068,Laptops,2392,541.59,1295483.28,0.14,61.14,A - High Value (Top 80%)
SKU0187,Laptops_0187,Laptops,1806,714.3,1290025.8,0.14,61.28,A - High Value (Top 80%)
SKU0059,Smartphones_0059,Smartphones,2877,447.86,1288493.22,0.14,61.42,A - High Value (Top 80%)
SKU0194,Laptops_0194,Laptops,4982,258.15,1286103.3,0.14,61.56,A - High Value (Top 80%)
