sku_id,product_name,category,warehouse_id,warehouse_name,avg_inventory_value,annual_cogs,inventory_turnover_ratio,days_inventory_on_hand,movement_category
SKU0054,Components_0054,Components,WH11,Jacksonville Distribution Center,1342.89,131582.4,97.98,3.7,Fast Moving
SKU0195,Laptops_0195,Laptops,WH12,Fort Worth Distribution Center,126732.6,11608002.09,91.59,4.0,Fast Moving
SKU0008,Accessories_0008,Accessories,WH10,Austin Distribution Center,10768.15,969856.45,90.07,4.1,Fast Moving
SKU0104,Laptops_0104,Laptops,WH05,Philadelphia Distribution Center,102040.0,9170130.72,89.87,4.1,Fast Moving
SKU0092,Accessories_0092,Accessories,WH14,Charlotte Distribution Center,43323.84,3828412.8,88.37,4.1,Fast Moving
SKU0098,Components_0098,Components,WH07,San Diego Distribution Center,3161.62,279023.23,88.25,4.1,Fast Moving
SKU0007,Accessories_0007,Accessories,WH06,San Antonio Distribution Center,24408.12,2129360.42,87.24,4.2,Fast Moving
SKU0125,Accessories_0125,Accessories,WH15,Seattle Distribution Center,29786.94,2591708.94,87.01,4.2,Fast Moving
SKU0109,Accessories_0109,Accessories,WH13,Columbus Distribution Center,19824.53,1716423.39,86.58,4.2,Fast Moving
SKU0088,Components_0088,Components,WH04,Phoenix Distribution Center,3916.85,338415.84,86.4,4.2,Fast Moving
SKU0183,Tablets_0183,Tablets,WH13,Columbus Distribution Center,134261.82,11488975.74,85.57,4.3,Fast Moving
SKU0173,Accessories_0173,Accessories,WH14,Charlotte Distribution Center,48792.15,4156499.76,85.19,4.3,Fast Moving
SKU0017,Laptops_0017,Laptops,WH11,Jacksonville Distribution Center,47890.83,3926536.77,81.99,4.5,Fast Moving
SKU0198,Wearables_0198,Wearables,WH04,Phoenix Distribution Center,7293.61,587910.91,80.61,4.5,Fast Moving
SKU0118,Accessories_0118,Accessories,WH13,Columbus Distribution Center,13989.21,1121210.91,80.15,4.6,Fast Moving
SKU0139,Laptops_0139,Laptops,WH04,Phoenix Distribution Center,62443.92,4935361.2,79.04,4.6,Fast Moving
SKU0007,Accessories_0007,Accessories,WH08,Dallas Distribution Center,27483.94,2129360.42,77.48,4.7,Fast Moving
SKU0016,Wearables_0016,Wearables,WH02,Chicago Distribution Center,8653.51,663621.01,76.69,4.8,Fast Moving
SKU0014,Accessories_0014,Accessories,WH12,Fort Worth Distribution Center,13087.62,973297.26,74.37,4.9,Fast Moving
SKU0045,Accessories_0045,Accessories,WH02,Chicago Distribution Center,42127.5,3126682.5,74.22,4.9,Fast Moving
SKU0023,Smartphones_0023,Smartphones,WH02,Chicago Distribution Center,130346.84,9261637.97,71.05,5.1,Fast Moving
SKU0115,Tablets_0115,Tablets,WH02,Chicago Distribution Center,108916.85,7716378.88,70.85,5.2,Fast Moving
SKU0097,Laptops_0097,Laptops,WH11,Jacksonville Distribution Center,223394.41,15238228.34,68.21,5.4,Fast Moving
SKU0115,Tablets_0115,Tablets,WH08,Dallas Distribution Center,113476.16,7716378.88,68.0,5.4,Fast Moving
SKU0045,Accessories_0045,Accessories,WH04,Phoenix Distribution Center,46032.0,3126682.5,67.92,5.4,Fast Moving
SKU0060,Laptops_0060,Laptops,WH07,San Diego Distribution Center,43529.82,2846351.16,65.39,5.6,Fast Moving
SKU0075,Accessories_0075,Accessories,WH15,Seattle Distribution Center,8627.73,558361.03,64.72,5.6,Fast Moving
SKU0182,Components_0182,Components,WH03,Houston Distribution Center,1705.44,108947.52,63.88,5.7,Fast Moving
SKU0008,Accessories_0008,Accessories,WH15,Seattle Distribution Center,15220.0,969856.45,63.72,5.7,Fast Moving
SKU0009,Accessories_0009,Accessories,WH01,Los Angeles Distribution Center,60606.55,3860098.3,63.69,5.7,Fast Moving
SKU0110,Laptops_0110,Laptops,WH05,Philadelphia Distribution Center,66038.88,4161906.18,63.02,5.8,Fast Moving
SKU0177,Laptops_0177,Laptops,WH08,Dallas Distribution Center,245560.86,15342760.52,62.48,5.8,Fast Moving
SKU0155,Accessories_0155,Accessories,WH12,Fort Worth Distribution Center,23777.9,1474028.86,61.99,5.9,Fast Moving
SKU0051,Components_0051,Components,WH15,Seattle Distribution Center,501.12,30784.32,61.43,5.9,Fast Moving
SKU0054,Components_0054,Components,WH08,Dallas Distribution Center,2144.46,131582.4,61.36,5.9,Fast Moving
SKU0014,Accessories_0014,Accessories,WH07,San Diego Distribution Center,15951.78,973297.26,61.01,6.0,Fast Moving
SKU0082,Smartphones_0082,Smartphones,WH01,Los Angeles Distribution Center,109922.47,6693330.21,60.89,6.0,Fast Moving
SKU0167,Tablets_0167,Tablets,WH15,Seattle Distribution Center,72953.8,4427701.85,60.69,6.0,Fast Moving
SKU0049,Accessories_0049,Accessories,WH12,Fort Worth Distribution Center,29622.6,1782199.06,60.16,6.1,Fast Moving
SKU0188,Smartphones_0188,Smartphones,WH02,Chicago Distribution Center,169776.0,10163168.64,59.86,6.1,Fast Moving
SKU0102,Tablets_0102,Tablets,WH13,Columbus Distribution Center,41214.08,2434206.6,59.06,6.2,Fast Moving
SKU0031,Smartphones_0031,Smartphones,WH14,Charlotte Distribution Center,188494.28,10915179.08,57.91,6.3,Fast Moving
SKU0128,Laptops_0128,Laptops,WH03,Houston Distribution Center,278424.0,16070478.6,57.72,6.3,Fast Moving
SKU0166,Components_0166,Components,WH12,Fort Worth Distribution Center,4653.33,263714.99,56.67,6.4,Fast Moving
SKU0094,Components_0094,Components,WH05,Philadelphia Distribution Center,10210.0,573761.16,56.2,6.5,Fast Moving
SKU0107,Smartphones_0107,Smartphones,WH06,San Antonio Distribution Center,79085.7,4305260.1,54.44,6.7,Fast Moving
SKU0152,Accessories_0152,Accessories,WH14,Charlotte Distribution Center,10205.4,548638.8,53.76,6.8,Fast Moving
SKU0075,Accessories_0075,Accessories,WH03,Houston Distribution Center,10655.35,558361.03,52.4,7.0,Fast Moving
SKU0049,Accessories_0049,Accessories,WH01,Los Angeles Distribution Center,34465.66,1782199.06,51.71,7.1,Fast Moving
SKU0063,Components_0063,Components,WH06,San Antonio Distribution Center,4634.78,238195.85,51.39,7.1,Fast Moving
SKU0130,Accessories_0130,Accessories,WH01,Los Angeles Distribution Center,14822.4,759321.6,51.23,7.1,Fast Moving
SKU0066,Smartphones_0066,Smartphones,WH06,San Antonio Distribution Center,90939.62,4634698.35,50.96,7.2,Fast Moving
SKU0196,Components_0196,Components,WH14,Charlotte Distribution Center,3160.92,159604.2,50.49,7.2,Fast Moving
SKU0092,Accessories_0092,Accessories,WH01,Los Angeles Distribution Center,77118.4,3828412.8,49.64,7.4,Fast Moving
SKU0007,Accessories_0007,Accessories,WH15,Seattle Distribution Center,43210.31,2129360.42,49.28,7.4,Fast Moving
SKU0123,Laptops_0123,Laptops,WH05,Philadelphia Distribution Center,171711.23,8405025.71,48.95,7.5,Fast Moving
SKU0106,Laptops_0106,Laptops,WH06,San Antonio Distribution Center,112630.81,5458878.04,48.47,7.5,Fast Moving
SKU0148,Tablets_0148,Tablets,WH03,Houston Distribution Center,180502.16,8666848.96,48.02,7.6,Fast Moving
SKU0019,Accessories_0019,Accessories,WH14,Charlotte Distribution Center,53298.23,2553256.86,47.91,7.6,Fast Moving
SKU0159,Accessories_0159,Accessories,WH15,Seattle Distribution Center,51149.07,2425391.64,47.42,7.7,Fast Moving
SKU0097,Laptops_0097,Laptops,WH09,San Jose Distribution Center,323239.5,15238228.34,47.14,7.7,Fast Moving
SKU0008,Accessories_0008,Accessories,WH13,Columbus Distribution Center,20661.15,969856.45,46.94,7.8,Fast Moving
SKU0181,Laptops_0181,Laptops,WH03,Houston Distribution Center,117009.88,5483817.69,46.87,7.8,Fast Moving
SKU0085,Laptops_0085,Laptops,WH14,Charlotte Distribution Center,228948.86,10717165.84,46.81,7.8,Fast Moving
SKU0152,Accessories_0152,Accessories,WH02,Chicago Distribution Center,11804.1,548638.8,46.48,7.9,Fast Moving
SKU0009,Accessories_0009,Accessories,WH10,Austin Distribution Center,83393.1,3860098.3,46.29,7.9,Fast Moving
SKU0082,Smartphones_0082,Smartphones,WH02,Chicago Distribution Center,145041.47,6693330.21,46.15,7.9,Fast Moving
SKU0063,Components_0063,Components,WH01,Los Angeles Distribution Center,5165.48,238195.85,46.11,7.9,Fast Moving
SKU0152,Accessories_0152,Accessories,WH05,Philadelphia Distribution Center,12045.0,548638.8,45.55,8.0,Fast Moving
SKU0091,Wearables_0091,Wearables,WH12,Fort Worth Distribution Center,1535.98,69912.27,45.52,8.0,Fast Moving
SKU0166,Components_0166,Components,WH08,Dallas Distribution Center,5836.38,263714.99,45.18,8.1,Fast Moving
SKU0037,Peripherals_0037,Peripherals,WH13,Columbus Distribution Center,11924.01,533615.22,44.75,8.2,Fast Moving
SKU0127,Accessories_0127,Accessories,WH04,Phoenix Distribution Center,79549.47,3555885.15,44.7,8.2,Fast Moving
SKU0184,Accessories_0184,Accessories,WH15,Seattle Distribution Center,31174.64,1385921.74,44.46,8.2,Fast Moving
SKU0068,Laptops_0068,Laptops,WH06,San Antonio Distribution Center,216094.41,9479991.36,43.87,8.3,Fast Moving
SKU0159,Accessories_0159,Accessories,WH11,Jacksonville Distribution Center,55719.09,2425391.64,43.53,8.4,Fast Moving
SKU0167,Tablets_0167,Tablets,WH10,Austin Distribution Center,101796.0,4427701.85,43.5,8.4,Fast Moving
SKU0156,Tablets_0156,Tablets,WH14,Charlotte Distribution Center,117960.96,5073169.92,43.01,8.5,Fast Moving
SKU0035,Components_0035,Components,WH15,Seattle Distribution Center,5251.32,220178.19,41.93,8.7,Fast Moving
SKU0026,Wearables_0026,Wearables,WH04,Phoenix Distribution Center,24741.99,1035498.1,41.85,8.7,Fast Moving
SKU0192,Laptops_0192,Laptops,WH15,Seattle Distribution Center,141027.96,5858964.57,41.54,8.8,Fast Moving
SKU0049,Accessories_0049,Accessories,WH04,Phoenix Distribution Center,42929.26,1782199.06,41.51,8.8,Fast Moving
SKU0092,Accessories_0092,Accessories,WH03,Houston Distribution Center,92443.84,3828412.8,41.41,8.8,Fast Moving
SKU0018,Wearables_0018,Wearables,WH01,Los Angeles Distribution Center,9620.65,394822.09,41.04,8.9,Fast Moving
SKU0171,Wearables_0171,Wearables,WH01,Los Angeles Distribution Center,8044.92,328243.05,40.8,8.9,Fast Moving
SKU0038,Accessories_0038,Accessories,WH08,Dallas Distribution Center,70340.4,2677849.2,38.07,9.6,Fast Moving
SKU0139,Laptops_0139,Laptops,WH08,Dallas Distribution Center,130330.2,4935361.2,37.87,9.6,Fast Moving
SKU0014,Accessories_0014,Accessories,WH14,Charlotte Distribution Center,25817.22,973297.26,37.7,9.7,Fast Moving
SKU0048,Smartphones_0048,Smartphones,WH11,Jacksonville Distribution Center,412866.0,15369624.96,37.23,9.8,Fast Moving
SKU0109,Accessories_0109,Accessories,WH03,Houston Distribution Center,46488.09,1716423.39,36.92,9.9,Fast Moving
SKU0018,Wearables_0018,Wearables,WH14,Charlotte Distribution Center,10700.04,394822.09,36.9,9.9,Fast Moving
SKU0039,Smartphones_0039,Smartphones,WH09,San Jose Distribution Center,565486.6,20678490.98,36.57,10.0,Fast Moving
SKU0055,Accessories_0055,Accessories,WH14,Charlotte Distribution Center,23434.02,845712.9,36.09,10.1,Fast Moving
SKU0097,Laptops_0097,Laptops,WH03,Houston Distribution Center,422366.28,15238228.34,36.08,10.1,Fast Moving
SKU0040,Components_0040,Components,WH01,Los Angeles Distribution Center,5363.67,193043.58,35.99,10.1,Fast Moving
SKU0089,Tablets_0089,Tablets,WH15,Seattle Distribution Center,164225.49,5899102.1,35.92,10.2,Fast Moving
SKU0140,Laptops_0140,Laptops,WH14,Charlotte Distribution Center,49719.18,1782182.08,35.84,10.2,Fast Moving
SKU0123,Laptops_0123,Laptops,WH07,San Diego Distribution Center,237895.43,8405025.71,35.33,10.3,Fast Moving
SKU0049,Accessories_0049,Accessories,WH08,Dallas Distribution Center,50922.66,1782199.06,35.0,10.4,Fast Moving
SKU0125,Accessories_0125,Accessories,WH08,Dallas Distribution Center,74344.77,2591708.94,34.86,10.5,Fast Moving
SKU0182,Components_0182,Components,WH11,Jacksonville Distribution Center,3137.28,108947.52,34.73,10.5,Fast Moving
SKU0103,Wearables_0103,Wearables,WH05,Philadelphia Distribution Center,30100.96,1040746.08,34.58,10.6,Fast Moving
SKU0110,Laptops_0110,Laptops,WH14,Charlotte Distribution Center,120585.7,4161906.18,34.51,10.6,Fast Moving
SKU0200,Components_0200,Components,WH03,Houston Distribution Center,7454.33,255403.56,34.26,10.7,Fast Moving
SKU0185,Components_0185,Components,WH04,Phoenix Distribution Center,16471.0,561100.0,34.07,10.7,Fast Moving
SKU0147,Components_0147,Components,WH11,Jacksonville Distribution Center,12487.64,424135.36,33.96,10.7,Fast Moving
SKU0127,Accessories_0127,Accessories,WH06,San Antonio Distribution Center,104979.87,3555885.15,33.87,10.8,Fast Moving
SKU0021,Laptops_0021,Laptops,WH02,Chicago Distribution Center,119305.98,4024331.82,33.73,10.8,Fast Moving
SKU0090,Tablets_0090,Tablets,WH14,Charlotte Distribution Center,149231.04,5029508.4,33.7,10.8,Fast Moving
SKU0159,Accessories_0159,Accessories,WH05,Philadelphia Distribution Center,72710.19,2425391.64,33.36,10.9,Fast Moving
SKU0045,Accessories_0045,Accessories,WH10,Austin Distribution Center,93776.5,3126682.5,33.34,10.9,Fast Moving
SKU0184,Accessories_0184,Accessories,WH07,San Diego Distribution Center,41624.24,1385921.74,33.3,11.0,Fast Moving
SKU0173,Accessories_0173,Accessories,WH08,Dallas Distribution Center,125972.46,4156499.76,33.0,11.1,Fast Moving
SKU0043,Tablets_0043,Tablets,WH15,Seattle Distribution Center,106092.0,3444201.0,32.46,11.2,Fast Moving
SKU0072,Components_0072,Components,WH09,San Jose Distribution Center,6944.0,224254.0,32.29,11.3,Fast Moving
SKU0015,Peripherals_0015,Peripherals,WH15,Seattle Distribution Center,37737.0,1211447.55,32.1,11.4,Fast Moving
SKU0109,Accessories_0109,Accessories,WH10,Austin Distribution Center,54106.25,1716423.39,31.72,11.5,Fast Moving
SKU0104,Laptops_0104,Laptops,WH06,San Antonio Distribution Center,290201.76,9170130.72,31.6,11.6,Fast Moving
SKU0063,Components_0063,Components,WH04,Phoenix Distribution Center,7553.63,238195.85,31.53,11.6,Fast Moving
SKU0092,Accessories_0092,Accessories,WH04,Phoenix Distribution Center,123094.72,3828412.8,31.1,11.7,Fast Moving
SKU0128,Laptops_0128,Laptops,WH14,Charlotte Distribution Center,518178.0,16070478.6,31.01,11.8,Fast Moving
SKU0110,Laptops_0110,Laptops,WH02,Chicago Distribution Center,135476.82,4161906.18,30.72,11.9,Fast Moving
SKU0093,Accessories_0093,Accessories,WH12,Fort Worth Distribution Center,81318.44,2493725.98,30.67,11.9,Fast Moving
SKU0146,Wearables_0146,Wearables,WH08,Dallas Distribution Center,14645.84,436712.32,29.82,12.2,Fast Moving
SKU0085,Laptops_0085,Laptops,WH11,Jacksonville Distribution Center,373717.46,10717165.84,28.68,12.7,Fast Moving
SKU0173,Accessories_0173,Accessories,WH11,Jacksonville Distribution Center,146080.74,4156499.76,28.45,12.8,Fast Moving
SKU0037,Peripherals_0037,Peripherals,WH10,Austin Distribution Center,18863.91,533615.22,28.29,12.9,Fast Moving
SKU0132,Smartphones_0132,Smartphones,WH11,Jacksonville Distribution Center,107551.6,3024190.0,28.12,13.0,Fast Moving
SKU0048,Smartphones_0048,Smartphones,WH06,San Antonio Distribution Center,554616.66,15369624.96,27.71,13.2,Fast Moving
SKU0182,Components_0182,Components,WH14,Charlotte Distribution Center,3948.96,108947.52,27.59,13.2,Fast Moving
SKU0198,Wearables_0198,Wearables,WH11,Jacksonville Distribution Center,21478.82,587910.91,27.37,13.3,Fast Moving
SKU0131,Accessories_0131,Accessories,WH11,Jacksonville Distribution Center,44399.2,1213417.9,27.33,13.4,Fast Moving
SKU0081,Accessories_0081,Accessories,WH12,Fort Worth Distribution Center,55964.35,1521542.49,27.19,13.4,Fast Moving
SKU0045,Accessories_0045,Accessories,WH11,Jacksonville Distribution Center,115217.0,3126682.5,27.14,13.5,Fast Moving
SKU0023,Smartphones_0023,Smartphones,WH01,Los Angeles Distribution Center,349379.03,9261637.97,26.51,13.8,Fast Moving
SKU0125,Accessories_0125,Accessories,WH01,Los Angeles Distribution Center,99289.8,2591708.94,26.1,14.0,Fast Moving
SKU0194,Laptops_0194,Laptops,WH11,Jacksonville Distribution Center,81317.25,2113732.2,25.99,14.0,Fast Moving
SKU0091,Wearables_0091,Wearables,WH03,Houston Distribution Center,2769.8,69912.27,25.24,14.5,Fast Moving
SKU0165,Tablets_0165,Tablets,WH04,Phoenix Distribution Center,78555.12,1980396.6,25.21,14.5,Fast Moving
SKU0152,Accessories_0152,Accessories,WH08,Dallas Distribution Center,21768.6,548638.8,25.2,14.5,Fast Moving
SKU0159,Accessories_0159,Accessories,WH01,Los Angeles Distribution Center,96790.68,2425391.64,25.06,14.6,Fast Moving
SKU0039,Smartphones_0039,Smartphones,WH10,Austin Distribution Center,825929.02,20678490.98,25.04,14.6,Fast Moving
SKU0184,Accessories_0184,Accessories,WH01,Los Angeles Distribution Center,55513.5,1385921.74,24.97,14.6,Fast Moving
SKU0059,Smartphones_0059,Smartphones,WH01,Los Angeles Distribution Center,331416.4,8252268.36,24.9,14.7,Fast Moving
SKU0064,Accessories_0064,Accessories,WH01,Los Angeles Distribution Center,84612.08,2101649.28,24.84,14.7,Fast Moving
SKU0136,Smartphones_0136,Smartphones,WH15,Seattle Distribution Center,470148.48,11584515.42,24.64,14.8,Fast Moving
SKU0127,Accessories_0127,Accessories,WH08,Dallas Distribution Center,146622.15,3555885.15,24.25,15.1,Fast Moving
SKU0094,Components_0094,Components,WH08,Dallas Distribution Center,23809.72,573761.16,24.1,15.1,Fast Moving
SKU0159,Accessories_0159,Accessories,WH07,San Diego Distribution Center,101126.34,2425391.64,23.98,15.2,Fast Moving
SKU0048,Smartphones_0048,Smartphones,WH10,Austin Distribution Center,643382.85,15369624.96,23.89,15.3,Fast Moving
SKU0064,Accessories_0064,Accessories,WH10,Austin Distribution Center,88264.4,2101649.28,23.81,15.3,Fast Moving
SKU0197,Tablets_0197,Tablets,WH07,San Diego Distribution Center,86484.58,2052276.07,23.73,15.4,Fast Moving
SKU0159,Accessories_0159,Accessories,WH10,Austin Distribution Center,103880.07,2425391.64,23.35,15.6,Fast Moving
SKU0079,Smartphones_0079,Smartphones,WH06,San Antonio Distribution Center,471991.86,10887613.65,23.07,15.8,Fast Moving
SKU0007,Accessories_0007,Accessories,WH13,Columbus Distribution Center,92324.21,2129360.42,23.06,15.8,Fast Moving
SKU0017,Laptops_0017,Laptops,WH13,Columbus Distribution Center,171111.72,3926536.77,22.95,15.9,Fast Moving
SKU0146,Wearables_0146,Wearables,WH14,Charlotte Distribution Center,19031.76,436712.32,22.95,15.9,Fast Moving
SKU0127,Accessories_0127,Accessories,WH11,Jacksonville Distribution Center,155284.38,3555885.15,22.9,15.9,Fast Moving
SKU0110,Laptops_0110,Laptops,WH08,Dallas Distribution Center,181930.64,4161906.18,22.88,16.0,Fast Moving
SKU0072,Components_0072,Components,WH11,Jacksonville Distribution Center,9811.5,224254.0,22.86,16.0,Fast Moving
SKU0088,Components_0088,Components,WH08,Dallas Distribution Center,14808.22,338415.84,22.85,16.0,Fast Moving
SKU0075,Accessories_0075,Accessories,WH08,Dallas Distribution Center,24745.24,558361.03,22.56,16.2,Fast Moving
SKU0127,Accessories_0127,Accessories,WH03,Houston Distribution Center,157668.48,3555885.15,22.55,16.2,Fast Moving
SKU0131,Accessories_0131,Accessories,WH15,Seattle Distribution Center,54144.3,1213417.9,22.41,16.3,Fast Moving
SKU0058,Tablets_0058,Tablets,WH08,Dallas Distribution Center,88297.44,1967628.18,22.28,16.4,Fast Moving
SKU0054,Components_0054,Components,WH12,Fort Worth Distribution Center,5923.29,131582.4,22.21,16.4,Fast Moving
SKU0072,Components_0072,Components,WH08,Dallas Distribution Center,10137.0,224254.0,22.12,16.5,Fast Moving
SKU0132,Smartphones_0132,Smartphones,WH10,Austin Distribution Center,136843.2,3024190.0,22.1,16.5,Fast Moving
SKU0009,Accessories_0009,Accessories,WH04,Phoenix Distribution Center,175673.9,3860098.3,21.97,16.6,Fast Moving
SKU0093,Accessories_0093,Accessories,WH14,Charlotte Distribution Center,113561.32,2493725.98,21.96,16.6,Fast Moving
SKU0064,Accessories_0064,Accessories,WH14,Charlotte Distribution Center,95742.96,2101649.28,21.95,16.6,Fast Moving
SKU0153,Components_0153,Components,WH02,Chicago Distribution Center,13879.44,302596.8,21.8,16.7,Fast Moving
SKU0058,Tablets_0058,Tablets,WH14,Charlotte Distribution Center,90638.66,1967628.18,21.71,16.8,Fast Moving
SKU0097,Laptops_0097,Laptops,WH02,Chicago Distribution Center,706098.73,15238228.34,21.58,16.9,Fast Moving
SKU0162,Tablets_0162,Tablets,WH10,Austin Distribution Center,94182.34,2031864.63,21.57,16.9,Fast Moving
SKU0090,Tablets_0090,Tablets,WH01,Los Angeles Distribution Center,233701.44,5029508.4,21.52,17.0,Fast Moving
SKU0040,Components_0040,Components,WH06,San Antonio Distribution Center,8979.9,193043.58,21.5,17.0,Fast Moving
SKU0192,Laptops_0192,Laptops,WH08,Dallas Distribution Center,273883.77,5858964.57,21.39,17.1,Fast Moving
SKU0036,Wearables_0036,Wearables,WH04,Phoenix Distribution Center,36466.56,779500.8,21.38,17.1,Fast Moving
SKU0085,Laptops_0085,Laptops,WH07,San Diego Distribution Center,512051.9,10717165.84,20.93,17.4,Fast Moving
SKU0131,Accessories_0131,Accessories,WH07,San Diego Distribution Center,58339.5,1213417.9,20.8,17.5,Fast Moving
SKU0007,Accessories_0007,Accessories,WH02,Chicago Distribution Center,102841.53,2129360.42,20.71,17.6,Fast Moving
SKU0114,Components_0114,Components,WH03,Houston Distribution Center,18661.44,386308.47,20.7,17.6,Fast Moving
SKU0172,Wearables_0172,Wearables,WH14,Charlotte Distribution Center,6759.55,139661.2,20.66,17.7,Fast Moving
SKU0027,Peripherals_0027,Peripherals,WH14,Charlotte Distribution Center,16290.95,336236.03,20.64,17.7,Fast Moving
SKU0017,Laptops_0017,Laptops,WH06,San Antonio Distribution Center,191733.75,3926536.77,20.48,17.8,Fast Moving
SKU0197,Tablets_0197,Tablets,WH13,Columbus Distribution Center,100346.22,2052276.07,20.45,17.8,Fast Moving
SKU0127,Accessories_0127,Accessories,WH14,Charlotte Distribution Center,173959.83,3555885.15,20.44,17.9,Fast Moving
SKU0005,Peripherals_0005,Peripherals,WH02,Chicago Distribution Center,64293.99,1300481.07,20.23,18.0,Fast Moving
