sku_id,product_name,category,eoq,reorder_point_optimized,safety_stock_optimized,reorder_point_current,safety_stock_current,rop_difference,safety_stock_difference,potential_savings
SKU0188,Smartphones_0188,Smartphones,91,3619,317,752.0,557.0,2867.0,-240.0,621295.2719999999
SKU0006,Tablets_0006,Tablets,78,2831,226,646.0,512.0,2185.0,-286.0,605481.6927599999
SKU0102,Tablets_0102,Tablets,53,767,82,988.0,635.0,-221.0,-553.0,601669.2206250001
SKU0177,Laptops_0177,Laptops,110,4455,424,573.0,978.0,3882.0,-554.0,585372.8450399999
SKU0177,Laptops_0177,Laptops,110,4455,424,831.0,801.0,3624.0,-377.0,579497.0824799999
SKU0102,Tablets_0102,Tablets,53,767,82,1269.0,608.0,-502.0,-526.0,571531.4246250001
SKU0013,Laptops_0013,Laptops,113,5162,399,1656.0,942.0,3506.0,-543.0,551391.5531250001
SKU0181,Laptops_0181,Laptops,77,3064,240,994.0,890.0,2070.0,-650.0,548050.127625
SKU0106,Laptops_0106,Laptops,94,2920,235,1875.0,300.0,1045.0,-65.0,546658.49604
SKU0013,Laptops_0013,Laptops,113,5162,399,977.0,215.0,4185.0,184.0,543969.6477750001
SKU0006,Tablets_0006,Tablets,78,2831,226,627.0,227.0,2204.0,-1.0,542585.7964799999
SKU0195,Laptops_0195,Laptops,101,5583,450,1738.0,708.0,3845.0,-258.0,538671.6357750001
SKU0158,Laptops_0158,Laptops,68,2165,185,521.0,577.0,1644.0,-392.0,531347.8078
SKU0160,Smartphones_0160,Smartphones,102,2592,245,1875.0,559.0,717.0,-314.0,530830.42155
SKU0195,Laptops_0195,Laptops,101,5583,450,876.0,219.0,4707.0,231.0,528759.0342450001
SKU0048,Smartphones_0048,Smartphones,128,7277,555,1833.0,574.0,5444.0,-19.0,525311.43132
SKU0108,Laptops_0108,Laptops,119,4654,393,668.0,488.0,3986.0,-95.0,522885.53234499996
SKU0160,Smartphones_0160,Smartphones,102,2592,245,743.0,861.0,1849.0,-616.0,520230.67634999997
SKU0183,Tablets_0183,Tablets,100,5055,388,1490.0,530.0,3565.0,-142.0,515968.17426000006
SKU0108,Laptops_0108,Laptops,119,4654,393,1733.0,519.0,2921.0,-126.0,511176.910805
SKU0158,Laptops_0158,Laptops,68,2165,185,671.0,862.0,1494.0,-677.0,510385.8653999999
SKU0176,Tablets_0176,Tablets,60,1634,127,1163.0,602.0,471.0,-475.0,506107.3881600001
SKU0039,Smartphones_0039,Smartphones,120,8611,639,1873.0,761.0,6738.0,-122.0,503092.7200600001
SKU0176,Tablets_0176,Tablets,60,1634,127,1541.0,618.0,93.0,-491.0,502384.12224000006
SKU0090,Tablets_0090,Tablets,83,1500,149,1218.0,576.0,282.0,-427.0,499905.33011999994
SKU0106,Laptops_0106,Laptops,94,2920,235,1089.0,830.0,1831.0,-595.0,498605.733
SKU0068,Laptops_0068,Laptops,123,4457,397,786.0,246.0,3671.0,151.0,489197.9373750001
SKU0097,Laptops_0097,Laptops,138,6216,498,729.0,967.0,5487.0,-469.0,488827.91275
SKU0183,Tablets_0183,Tablets,100,5055,388,1028.0,576.0,4027.0,-188.0,484896.15306
SKU0177,Laptops_0177,Laptops,110,4455,424,1373.0,715.0,3082.0,-291.0,484566.7936199999
SKU0006,Tablets_0006,Tablets,78,2831,226,1188.0,738.0,1643.0,-512.0,483023.09286
SKU0095,Tablets_0095,Tablets,103,3674,279,662.0,500.0,3012.0,-221.0,480158.67328
SKU0188,Smartphones_0188,Smartphones,91,3619,317,1428.0,951.0,2191.0,-634.0,478513.6559999999
SKU0176,Tablets_0176,Tablets,60,1634,127,871.0,648.0,763.0,-521.0,474267.0451200001
SKU0095,Tablets_0095,Tablets,103,3674,279,1335.0,761.0,2339.0,-482.0,473596.14015999995
SKU0106,Laptops_0106,Laptops,94,2920,235,820.0,759.0,2100.0,-524.0,472363.326
SKU0043,Tablets_0043,Tablets,65,1818,154,772.0,855.0,1046.0,-701.0,471787.65075
SKU0108,Laptops_0108,Laptops,119,4654,393,585.0,519.0,4069.0,-126.0,468643.550925
SKU0183,Tablets_0183,Tablets,100,5055,388,1282.0,628.0,3773.0,-240.0,464871.96162
SKU0181,Laptops_0181,Laptops,77,3064,240,705.0,537.0,2359.0,-297.0,464323.43587499997
SKU0128,Laptops_0128,Laptops,122,4305,411,1688.0,554.0,2617.0,-143.0,462879.9
SKU0057,Laptops_0057,Laptops,118,2788,266,620.0,588.0,2168.0,-322.0,462256.53040000005
SKU0006,Tablets_0006,Tablets,78,2831,226,1072.0,697.0,1759.0,-471.0,459111.05856
SKU0161,Tablets_0161,Tablets,113,4298,337,1086.0,814.0,3212.0,-477.0,458355.95885000005
SKU0043,Tablets_0043,Tablets,65,1818,154,1495.0,384.0,323.0,-230.0,458250.18525
SKU0161,Tablets_0161,Tablets,113,4298,337,1521.0,410.0,2777.0,-73.0,454639.97765
SKU0102,Tablets_0102,Tablets,53,767,82,573.0,252.0,194.0,-170.0,450690.45412500005
SKU0168,Tablets_0168,Tablets,76,1426,134,918.0,907.0,508.0,-773.0,449431.74528
SKU0043,Tablets_0043,Tablets,65,1818,154,635.0,856.0,1183.0,-702.0,445131.40425
SKU0183,Tablets_0183,Tablets,100,5055,388,1016.0,779.0,4039.0,-391.0,441740.56806
SKU0057,Laptops_0057,Laptops,118,2788,266,1750.0,793.0,1038.0,-527.0,437193.80288000003
SKU0085,Laptops_0085,Laptops,131,5236,454,1561.0,519.0,3675.0,-65.0,436067.95557000005
SKU0095,Tablets_0095,Tablets,103,3674,279,915.0,439.0,2759.0,-160.0,431803.16608
SKU0013,Laptops_0013,Laptops,113,5162,399,1448.0,667.0,3714.0,-268.0,428720.060925
SKU0107,Smartphones_0107,Smartphones,97,2598,211,1942.0,300.0,656.0,-89.0,428559.2055
SKU0039,Smartphones_0039,Smartphones,120,8611,639,1382.0,770.0,7229.0,-131.0,424970.34804000007
SKU0128,Laptops_0128,Laptops,122,4305,411,1154.0,548.0,3151.0,-137.0,422616.696
SKU0006,Tablets_0006,Tablets,78,2831,226,842.0,572.0,1989.0,-346.0,421721.33219999995
SKU0006,Tablets_0006,Tablets,78,2831,226,501.0,393.0,2330.0,-167.0,420561.96083999996
SKU0013,Laptops_0013,Laptops,113,5162,399,864.0,328.0,4298.0,71.0,419057.580375
SKU0177,Laptops_0177,Laptops,110,4455,424,675.0,497.0,3780.0,-73.0,419015.31756
SKU0158,Laptops_0158,Laptops,68,2165,185,1106.0,361.0,1059.0,-176.0,416992.92559999996
SKU0044,Tablets_0044,Tablets,119,3300,311,664.0,698.0,2636.0,-387.0,415673.10631000006
SKU0106,Laptops_0106,Laptops,94,2920,235,612.0,333.0,2308.0,-98.0,411480.94176
SKU0102,Tablets_0102,Tablets,53,767,82,1496.0,955.0,-729.0,-873.0,409830.5576250001
SKU0068,Laptops_0068,Laptops,123,4457,397,830.0,485.0,3627.0,-88.0,408040.675875
SKU0097,Laptops_0097,Laptops,138,6216,498,1905.0,392.0,4311.0,106.0,407016.71361
SKU0068,Laptops_0068,Laptops,123,4457,397,1645.0,554.0,2812.0,-157.0,405237.94762500003
SKU0057,Laptops_0057,Laptops,118,2788,266,800.0,817.0,1988.0,-551.0,404643.45552
SKU0023,Smartphones_0023,Smartphones,154,8280,602,860.0,499.0,7420.0,103.0,404469.54443999997
SKU0107,Smartphones_0107,Smartphones,97,2598,211,1350.0,864.0,1248.0,-653.0,403850.3517
SKU0108,Laptops_0108,Laptops,119,4654,393,976.0,306.0,3678.0,87.0,402573.472235
SKU0106,Laptops_0106,Laptops,94,2920,235,1509.0,844.0,1411.0,-609.0,401917.04232
SKU0107,Smartphones_0107,Smartphones,97,2598,211,1145.0,581.0,1453.0,-370.0,399908.47229999996
SKU0160,Smartphones_0160,Smartphones,102,2592,245,1704.0,778.0,888.0,-533.0,399779.02635
SKU0167,Tablets_0167,Tablets,105,2980,252,1749.0,559.0,1231.0,-307.0,398445.66169999994
SKU0102,Tablets_0102,Tablets,53,767,82,1925.0,820.0,-1158.0,-738.0,393602.5136250001
SKU0099,Tablets_0099,Tablets,64,1701,154,1984.0,323.0,-283.0,-169.0,386581.72583999997
SKU0181,Laptops_0181,Laptops,77,3064,240,758.0,240.0,2306.0,0.0,386413.223625
SKU0156,Tablets_0156,Tablets,116,4297,318,1353.0,514.0,2944.0,-196.0,385513.39008
SKU0167,Tablets_0167,Tablets,105,2980,252,933.0,793.0,2047.0,-541.0,385432.7396999999
SKU0044,Tablets_0044,Tablets,119,3300,311,1128.0,970.0,2172.0,-659.0,384245.0766700001
SKU0123,Laptops_0123,Laptops,168,5442,469,1182.0,745.0,4260.0,-276.0,381282.02853999997
SKU0123,Laptops_0123,Laptops,168,5442,469,1541.0,510.0,3901.0,-41.0,379969.37523999996
SKU0095,Tablets_0095,Tablets,103,3674,279,1495.0,543.0,2179.0,-264.0,379072.6368
SKU0122,Tablets_0122,Tablets,118,4635,349,1197.0,957.0,3438.0,-608.0,378358.2594
SKU0167,Tablets_0167,Tablets,105,2980,252,644.0,394.0,2336.0,-142.0,377324.6882999999
SKU0099,Tablets_0099,Tablets,64,1701,154,1143.0,285.0,558.0,-131.0,376012.38288
SKU0195,Laptops_0195,Laptops,101,5583,450,1561.0,948.0,4022.0,-498.0,375200.663175
SKU0167,Tablets_0167,Tablets,105,2980,252,1266.0,218.0,1714.0,34.0,375122.50149999995
SKU0181,Laptops_0181,Laptops,77,3064,240,1091.0,227.0,1973.0,13.0,373555.742625
SKU0043,Tablets_0043,Tablets,65,1818,154,864.0,244.0,954.0,-90.0,371303.37075
SKU0123,Laptops_0123,Laptops,168,5442,469,1277.0,532.0,4165.0,-63.0,369293.1284
SKU0097,Laptops_0097,Laptops,138,6216,498,1999.0,665.0,4217.0,-167.0,369110.05828999996
SKU0070,Laptops_0070,Laptops,79,1766,176,1903.0,371.0,-137.0,-195.0,368938.30700999993
SKU0079,Smartphones_0079,Smartphones,129,4672,415,1805.0,282.0,2867.0,133.0,368354.4984
SKU0090,Tablets_0090,Tablets,83,1500,149,1009.0,517.0,491.0,-368.0,364142.39147999993
SKU0158,Laptops_0158,Laptops,68,2165,185,505.0,667.0,1660.0,-482.0,364026.5889999999
SKU0108,Laptops_0108,Laptops,119,4654,393,1044.0,368.0,3610.0,25.0,360876.44246500003
SKU0188,Smartphones_0188,Smartphones,91,3619,317,902.0,613.0,2717.0,-296.0,357972.696
SKU0181,Laptops_0181,Laptops,77,3064,240,865.0,270.0,2199.0,-30.0,355494.04312499997
SKU0107,Smartphones_0107,Smartphones,97,2598,211,1121.0,772.0,1477.0,-561.0,355490.2215
SKU0090,Tablets_0090,Tablets,83,1500,149,1977.0,283.0,-477.0,-134.0,355300.45235999994
SKU0177,Laptops_0177,Laptops,110,4455,424,1018.0,475.0,3437.0,-51.0,354565.54698
SKU0115,Tablets_0115,Tablets,132,3001,300,1609.0,520.0,1392.0,-220.0,351740.63469999994
SKU0085,Laptops_0085,Laptops,131,5236,454,586.0,210.0,4650.0,244.0,347742.48799000005
SKU0097,Laptops_0097,Laptops,138,6216,498,1514.0,307.0,4702.0,191.0,346078.16644999996
SKU0095,Tablets_0095,Tablets,103,3674,279,562.0,311.0,3112.0,-32.0,342921.13856
SKU0158,Laptops_0158,Laptops,68,2165,185,909.0,968.0,1256.0,-783.0,341754.5251999999
SKU0039,Smartphones_0039,Smartphones,120,8611,639,1904.0,560.0,6707.0,79.0,341281.51708
SKU0021,Laptops_0021,Laptops,115,2999,234,1161.0,825.0,1838.0,-591.0,340483.8726
SKU0044,Tablets_0044,Tablets,119,3300,311,513.0,478.0,2787.0,-167.0,338278.91087
SKU0106,Laptops_0106,Laptops,94,2920,235,631.0,285.0,2289.0,-50.0,336252.70836
SKU0168,Tablets_0168,Tablets,76,1426,134,1389.0,831.0,37.0,-697.0,333087.39071999997
SKU0187,Laptops_0187,Laptops,90,4742,356,1819.0,206.0,2923.0,150.0,331975.9251
SKU0090,Tablets_0090,Tablets,83,1500,149,1988.0,353.0,-488.0,-204.0,330901.17731999996
SKU0059,Smartphones_0059,Smartphones,145,5743,473,780.0,494.0,4963.0,-21.0,330206.95407000004
SKU0021,Laptops_0021,Laptops,115,2999,234,1515.0,400.0,1484.0,-166.0,329630.877
SKU0160,Smartphones_0160,Smartphones,102,2592,245,1920.0,442.0,672.0,-197.0,327869.3913
SKU0187,Laptops_0187,Laptops,90,4742,356,1146.0,877.0,3596.0,-521.0,326050.80659999995
SKU0070,Laptops_0070,Laptops,79,1766,176,1579.0,374.0,187.0,-198.0,325323.37382999994
SKU0031,Smartphones_0031,Smartphones,177,4422,426,785.0,839.0,3637.0,-413.0,324230.808525
SKU0099,Tablets_0099,Tablets,64,1701,154,1826.0,605.0,-125.0,-451.0,323966.37588
SKU0148,Tablets_0148,Tablets,105,4479,317,1353.0,953.0,3126.0,-636.0,323801.31492
SKU0136,Smartphones_0136,Smartphones,174,6441,543,1202.0,437.0,5239.0,106.0,322630.38954000006
SKU0089,Tablets_0089,Tablets,147,4204,363,827.0,213.0,3377.0,150.0,322364.301
SKU0160,Smartphones_0160,Smartphones,102,2592,245,1925.0,949.0,667.0,-704.0,320401.389
SKU0161,Tablets_0161,Tablets,113,4298,337,985.0,767.0,3313.0,-430.0,319625.99405000004
SKU0188,Smartphones_0188,Smartphones,91,3619,317,1449.0,465.0,2170.0,-148.0,319603.31999999995
SKU0076,Smartphones_0076,Smartphones,186,9356,648,1589.0,424.0,7767.0,224.0,319020.71992000006
SKU0090,Tablets_0090,Tablets,83,1500,149,1018.0,970.0,482.0,-821.0,317470.38372
SKU0023,Smartphones_0023,Smartphones,154,8280,602,637.0,895.0,7643.0,-293.0,316594.32479999994
SKU0068,Laptops_0068,Laptops,123,4457,397,1967.0,764.0,2490.0,-367.0,315794.359125
SKU0006,Tablets_0006,Tablets,78,2831,226,722.0,871.0,2109.0,-645.0,311001.36731999996
SKU0136,Smartphones_0136,Smartphones,174,6441,543,1756.0,682.0,4685.0,-139.0,310020.26796
SKU0128,Laptops_0128,Laptops,122,4305,411,1225.0,325.0,3080.0,86.0,309174.384
SKU0070,Laptops_0070,Laptops,79,1766,176,961.0,709.0,805.0,-533.0,306886.77747
SKU0104,Laptops_0104,Laptops,177,8121,588,1551.0,922.0,6570.0,-334.0,305977.14400000003
SKU0070,Laptops_0070,Laptops,79,1766,176,1487.0,378.0,279.0,-202.0,304685.39282999997
SKU0107,Smartphones_0107,Smartphones,97,2598,211,616.0,397.0,1982.0,-186.0,303284.3553
SKU0148,Tablets_0148,Tablets,105,4479,317,1027.0,951.0,3452.0,-634.0,302906.98884
SKU0183,Tablets_0183,Tablets,100,5055,388,1359.0,975.0,3696.0,-587.0,299154.51522
SKU0076,Smartphones_0076,Smartphones,186,9356,648,1477.0,600.0,7879.0,48.0,298722.30738
SKU0176,Tablets_0176,Tablets,60,1634,127,1567.0,882.0,67.0,-755.0,298503.2160000001
SKU0031,Smartphones_0031,Smartphones,177,4422,426,1697.0,933.0,2725.0,-507.0,297736.188555
SKU0187,Laptops_0187,Laptops,90,4742,356,1380.0,270.0,3362.0,86.0,297610.23779999994
SKU0115,Tablets_0115,Tablets,132,3001,300,1153.0,766.0,1848.0,-466.0,297066.40235999995
SKU0148,Tablets_0148,Tablets,105,4479,317,1151.0,484.0,3328.0,-167.0,294524.96268
SKU0156,Tablets_0156,Tablets,116,4297,318,1716.0,535.0,2581.0,-217.0,293507.23584
SKU0076,Smartphones_0076,Smartphones,186,9356,648,679.0,655.0,8677.0,-7.0,291929.53153000004
SKU0023,Smartphones_0023,Smartphones,154,8280,602,1291.0,372.0,6989.0,230.0,291733.5525
SKU0122,Tablets_0122,Tablets,118,4635,349,1908.0,778.0,2727.0,-429.0,289030.80059999996
SKU0176,Tablets_0176,Tablets,60,1634,127,1083.0,600.0,551.0,-473.0,288103.74912000005
SKU0085,Laptops_0085,Laptops,131,5236,454,999.0,928.0,4237.0,-474.0,288025.97667
SKU0128,Laptops_0128,Laptops,122,4305,411,1746.0,681.0,2559.0,-270.0,286103.862
SKU0148,Tablets_0148,Tablets,105,4479,317,932.0,258.0,3547.0,59.0,285899.97924
SKU0076,Smartphones_0076,Smartphones,186,9356,648,993.0,815.0,8363.0,-167.0,283458.54047
SKU0148,Tablets_0148,Tablets,105,4479,317,716.0,685.0,3763.0,-368.0,282984.49188
SKU0115,Tablets_0115,Tablets,132,3001,300,971.0,728.0,2030.0,-428.0,282406.70094
SKU0031,Smartphones_0031,Smartphones,177,4422,426,1918.0,930.0,2504.0,-504.0,282364.674345
SKU0168,Tablets_0168,Tablets,76,1426,134,1862.0,985.0,-436.0,-851.0,281116.30848
SKU0048,Smartphones_0048,Smartphones,128,7277,555,608.0,306.0,6669.0,249.0,280817.691
SKU0079,Smartphones_0079,Smartphones,129,4672,415,1049.0,659.0,3623.0,-244.0,280499.29488
SKU0011,Smartphones_0011,Smartphones,127,2883,224,531.0,758.0,2352.0,-534.0,280460.0781
SKU0023,Smartphones_0023,Smartphones,154,8280,602,1658.0,935.0,6622.0,-333.0,280165.68293999997
SKU0136,Smartphones_0136,Smartphones,174,6441,543,1847.0,560.0,4594.0,-17.0,279738.81954000005
SKU0044,Tablets_0044,Tablets,119,3300,311,1015.0,942.0,2285.0,-631.0,278415.99727000005
SKU0167,Tablets_0167,Tablets,105,2980,252,1516.0,398.0,1464.0,-146.0,277325.38769999996
SKU0079,Smartphones_0079,Smartphones,129,4672,415,607.0,781.0,4065.0,-366.0,276750.13967999996
SKU0090,Tablets_0090,Tablets,83,1500,149,1256.0,549.0,244.0,-400.0,274827.61403999996
SKU0189,Tablets_0189,Tablets,85,1597,137,1324.0,892.0,273.0,-755.0,273344.65604000003
SKU0021,Laptops_0021,Laptops,115,2999,234,987.0,252.0,2012.0,-18.0,273287.6658
SKU0168,Tablets_0168,Tablets,76,1426,134,1577.0,756.0,-151.0,-622.0,271667.0208
SKU0102,Tablets_0102,Tablets,53,767,82,900.0,887.0,-133.0,-805.0,271312.61062500003
SKU0044,Tablets_0044,Tablets,119,3300,311,768.0,840.0,2532.0,-529.0,269650.35635
SKU0068,Laptops_0068,Laptops,123,4457,397,1174.0,915.0,3283.0,-518.0,268269.83662500005
SKU0158,Laptops_0158,Laptops,68,2165,185,1390.0,435.0,775.0,-250.0,267826.24619999994
SKU0106,Laptops_0106,Laptops,94,2920,235,962.0,897.0,1958.0,-662.0,267206.01972000004
SKU0079,Smartphones_0079,Smartphones,129,4672,415,1135.0,582.0,3537.0,-167.0,265752.61776
SKU0168,Tablets_0168,Tablets,76,1426,134,1180.0,575.0,246.0,-441.0,264186.33472
SKU0090,Tablets_0090,Tablets,83,1500,149,1041.0,990.0,459.0,-841.0,261844.51356
SKU0123,Laptops_0123,Laptops,168,5442,469,1622.0,454.0,3820.0,15.0,261655.55779999998
SKU0059,Smartphones_0059,Smartphones,145,5743,473,1404.0,673.0,4339.0,-200.0,260759.99102999998
SKU0156,Tablets_0156,Tablets,116,4297,318,989.0,376.0,3308.0,-58.0,259670.26176
SKU0160,Smartphones_0160,Smartphones,102,2592,245,1751.0,379.0,841.0,-134.0,259091.49915
SKU0079,Smartphones_0079,Smartphones,129,4672,415,1249.0,770.0,3423.0,-355.0,257254.53264
SKU0115,Tablets_0115,Tablets,132,3001,300,801.0,345.0,2200.0,-45.0,255207.88384
SKU0160,Smartphones_0160,Smartphones,102,2592,245,582.0,434.0,2010.0,-189.0,255116.59470000002
SKU0076,Smartphones_0076,Smartphones,186,9356,648,1919.0,710.0,7437.0,-62.0,254689.13687000002
SKU0059,Smartphones_0059,Smartphones,145,5743,473,1958.0,973.0,3785.0,-500.0,254559.36933000002
SKU0160,Smartphones_0160,Smartphones,102,2592,245,1681.0,603.0,911.0,-358.0,254514.33645
SKU0194,Laptops_0194,Laptops,129,2046,187,1769.0,907.0,277.0,-720.0,254005.14359999995
SKU0122,Tablets_0122,Tablets,118,4635,349,1932.0,526.0,2703.0,-177.0,253607.84279999998
SKU0139,Laptops_0139,Laptops,180,4944,408,1980.0,440.0,2964.0,-32.0,253534.05923999997
SKU0079,Smartphones_0079,Smartphones,129,4672,415,990.0,864.0,3682.0,-449.0,253130.46191999997
SKU0079,Smartphones_0079,Smartphones,129,4672,415,1963.0,766.0,2709.0,-351.0,248881.41936
SKU0168,Tablets_0168,Tablets,76,1426,134,674.0,421.0,752.0,-287.0,247551.6512
SKU0044,Tablets_0044,Tablets,119,3300,311,1567.0,697.0,1733.0,-386.0,246453.47733000005
SKU0031,Smartphones_0031,Smartphones,177,4422,426,691.0,852.0,3731.0,-426.0,245287.65514500003
SKU0194,Laptops_0194,Laptops,129,2046,187,621.0,246.0,1425.0,-59.0,243427.18919999996
SKU0024,Smartphones_0024,Smartphones,132,3182,241,1067.0,835.0,2115.0,-594.0,240994.46868
SKU0068,Laptops_0068,Laptops,123,4457,397,1606.0,519.0,2851.0,-122.0,239876.980875
SKU0085,Laptops_0085,Laptops,131,5236,454,1241.0,885.0,3995.0,-431.0,239053.44019000002
SKU0187,Laptops_0187,Laptops,90,4742,356,537.0,533.0,4205.0,-177.0,237851.18549999996
SKU0004,Smartphones_0004,Smartphones,180,5117,390,1027.0,920.0,4090.0,-530.0,237503.214
SKU0085,Laptops_0085,Laptops,131,5236,454,1513.0,885.0,3723.0,-431.0,237429.35097
SKU0048,Smartphones_0048,Smartphones,128,7277,555,1325.0,200.0,5952.0,355.0,236616.25704000003
SKU0031,Smartphones_0031,Smartphones,177,4422,426,1404.0,781.0,3018.0,-355.0,236481.86308500002
SKU0068,Laptops_0068,Laptops,123,4457,397,1450.0,612.0,3007.0,-215.0,235611.95962500002
SKU0024,Smartphones_0024,Smartphones,132,3182,241,1827.0,625.0,1355.0,-384.0,235382.6958
SKU0039,Smartphones_0039,Smartphones,120,8611,639,1604.0,532.0,7007.0,107.0,234559.06292000005
SKU0070,Laptops_0070,Laptops,79,1766,176,1820.0,920.0,-54.0,-744.0,234103.49780999997
SKU0148,Tablets_0148,Tablets,105,4479,317,1299.0,277.0,3180.0,40.0,233664.16404
SKU0060,Laptops_0060,Laptops,146,3005,263,993.0,727.0,2012.0,-464.0,233206.71312
SKU0194,Laptops_0194,Laptops,129,2046,187,700.0,282.0,1346.0,-95.0,232956.62519999995
SKU0122,Tablets_0122,Tablets,118,4635,349,1933.0,645.0,2702.0,-296.0,232046.04239999998
SKU0194,Laptops_0194,Laptops,129,2046,187,1614.0,602.0,432.0,-415.0,231023.59799999994
SKU0023,Smartphones_0023,Smartphones,154,8280,602,1672.0,980.0,6608.0,-378.0,229835.30309999996
SKU0189,Tablets_0189,Tablets,85,1597,137,874.0,763.0,723.0,-626.0,227756.477
SKU0181,Laptops_0181,Laptops,77,3064,240,1063.0,843.0,2001.0,-603.0,227684.559375
SKU0076,Smartphones_0076,Smartphones,186,9356,648,1365.0,931.0,7991.0,-283.0,227518.03347000005
SKU0011,Smartphones_0011,Smartphones,127,2883,224,648.0,616.0,2235.0,-392.0,227415.43529999998
SKU0162,Tablets_0162,Tablets,140,3580,269,1331.0,433.0,2249.0,-164.0,227343.58217999997
SKU0043,Tablets_0043,Tablets,65,1818,154,1794.0,303.0,24.0,-149.0,227275.90275
SKU0095,Tablets_0095,Tablets,103,3674,279,1472.0,871.0,2202.0,-592.0,226752.78912
SKU0136,Smartphones_0136,Smartphones,174,6441,543,1526.0,603.0,4915.0,-60.0,226210.14018000002
SKU0011,Smartphones_0011,Smartphones,127,2883,224,1192.0,490.0,1691.0,-266.0,225020.6433
SKU0156,Tablets_0156,Tablets,116,4297,318,932.0,445.0,3365.0,-127.0,224502.62016
SKU0108,Laptops_0108,Laptops,119,4654,393,1001.0,834.0,3653.0,-441.0,223120.925775
SKU0059,Smartphones_0059,Smartphones,145,5743,473,826.0,372.0,4917.0,101.0,222411.53067
SKU0082,Smartphones_0082,Smartphones,179,5183,433,1350.0,265.0,3833.0,168.0,222193.171935
SKU0104,Laptops_0104,Laptops,177,8121,588,1294.0,667.0,6827.0,-79.0,218730.49504
SKU0176,Tablets_0176,Tablets,60,1634,127,726.0,478.0,908.0,-351.0,218645.58144
SKU0162,Tablets_0162,Tablets,140,3580,269,812.0,819.0,2768.0,-550.0,218258.24151999998
SKU0106,Laptops_0106,Laptops,94,2920,235,1277.0,602.0,1643.0,-367.0,218103.56040000002
SKU0177,Laptops_0177,Laptops,110,4455,424,1447.0,450.0,3008.0,-26.0,217586.83229999998
